job_id,label,notes
in-ec840d99444c716a,0.5,
in-72aa500107984cd0,0,
in-d1d60754faba78cb,0,
in-ae3340bad9327809,0,
in-d03caefa0da8b097,0,
in-f53dfbed3bd5f18b,0,
in-ef9b6f312b7adc3e,0,
in-0e078db6215a0d51,1,
in-d914d531a9a89f28,0,
in-e6970d6efac1992a,0,
in-5ffc22d2e4c32d61,0,
in-4335bd6166f691bf,0,
in-328f75f0a7343278,0,
in-1b8918e8960320ad,0,
in-cdd9d70218fc9973,0,
in-c32d1980c75e06cc,0,
in-bbb51396cf781171,0,
in-115996f2dd43d969,0.5,
in-f920b180503abb39,0.5,
in-49af5310bba83db9,0.5,
in-8949f7caf830c00a,0.5,
in-bdffb5f081a641b8,0.5,
in-5cda3a31174a48a3,0.5,
in-08a39b41787b7f76,0.5,
in-2546f3f70ffff186,0.5,
in-3f3a3a650f5c651d,1,
in-7ba7c007f8a5e312,0,
li-4391740728,1,
li-4389421081,1,
li-4388735546,1,
in-f3a301f6de6c69bc,0,
in-def5998c219203a8,0,
in-ac8eb46af72cee19,1,
in-4a7332abda3482c5,1,
in-e3d7c63fea4cd648,0,
li-4391732863,1,
in-9da6cd01d7da36e0,0.5,
in-9b32c59da6b14e31,0,
in-8b1927a9f4e13e0c,0,
in-c6708be7bf636ca9,0,
in-a6771ccb58c7446b,0,
li-4381180446,0,
li-4381168874,0,
li-4381173682,0,
li-4390286465,1,
in-9e30cc534196bafc,0,
in-46d96f775c596b25,0.5,
in-2530bd9c47a43dec,1,
in-64b01cc7019f530b,0,
in-e554d3ed87980105,1,
